"transaction","transaction_date","transaction_amount","credit_card","cardholder_name","cardholder_id","merchant_id","merchant_name","merchant_cat_id","merchant_type"
824,"2018-07-17 16:30:39","$0.69","3517111172421930","Robert Johnson",1,145,"Hood-Phillips",3,"bar"
2242,"2018-10-05 19:04:16","$1.54","4761049645711555811","Robert Johnson",1,85,"Patton-Rivera",3,"bar"
2284,"2018-05-06 17:28:44","$1.83","3517111172421930","Robert Johnson",1,70,"White-Hall",3,"bar"
816,"2018-06-08 13:48:44","$1.98","3517111172421930","Robert Johnson",1,97,"Ruiz-Chavez",3,"bar"
2209,"2018-09-16 11:03:50","$4.54","3517111172421930","Robert Johnson",1,121,"Fleming, Smith and Collins",3,"bar"
2193,"2018-08-29 18:01:07","$4.62","3517111172421930","Robert Johnson",1,33,"Vasquez-Parker",3,"bar"
2102,"2018-04-19 16:24:08","$5.32","4761049645711555811","Robert Johnson",1,70,"White-Hall",3,"bar"
2114,"2018-06-15 21:15:39","$5.52","3517111172421930","Robert Johnson",1,87,"Griffin-Woodard",3,"bar"
1,"2018-04-30 18:50:48","$5.62","3517111172421930","Robert Johnson",1,42,"Kennedy-Chen",3,"bar"
409,"2018-11-10 23:15:15","$9.51","4761049645711555811","Robert Johnson",1,136,"Martinez-Robinson",3,"bar"
1210,"2018-11-02 01:03:21","$10.17","4761049645711555811","Robert Johnson",1,122,"Perry and Sons",3,"bar"
924,"2018-02-28 00:50:21","$10.21","3517111172421930","Robert Johnson",1,56,"Smith PLC",3,"bar"
1063,"2018-03-19 22:28:56","$10.31","3517111172421930","Robert Johnson",1,56,"Smith PLC",3,"bar"
1617,"2018-10-03 22:52:55","$10.73","3517111172421930","Robert Johnson",1,73,"Colon Ltd",3,"bar"
1398,"2018-11-17 12:17:15","$10.94","4761049645711555811","Robert Johnson",1,135,"Jacobs, Torres and Walker",3,"bar"
1735,"2018-09-21 11:34:02","$11.12","4761049645711555811","Robert Johnson",1,114,"Greene-Wood",3,"bar"
1576,"2018-03-14 13:39:02","$11.33","4761049645711555811","Robert Johnson",1,143,"Guzman, Garcia and Church",3,"bar"
897,"2018-12-18 15:18:23","$11.81","3517111172421930","Robert Johnson",1,33,"Vasquez-Parker",3,"bar"
1324,"2018-02-22 01:15:43","$12.35","3517111172421930","Robert Johnson",1,122,"Perry and Sons",3,"bar"
1325,"2018-08-07 04:19:38","$14.10","3517111172421930","Robert Johnson",1,56,"Smith PLC",3,"bar"
2462,"2018-12-20 03:22:04","$14.25","4761049645711555811","Robert Johnson",1,85,"Patton-Rivera",3,"bar"
2785,"2018-02-19 12:45:15","$15.59","3517111172421930","Robert Johnson",1,38,"Brown LLC",3,"bar"
3054,"2018-09-14 15:53:09","$16.01","4761049645711555811","Robert Johnson",1,121,"Fleming, Smith and Collins",3,"bar"
3205,"2018-01-30 16:34:45","$16.91","3517111172421930","Robert Johnson",1,112,"Greer Inc",3,"bar"
3123,"2018-12-01 05:54:13","$17.89","4761049645711555811","Robert Johnson",1,40,"Cox, Montgomery and Morgan",3,"bar"
1368,"2018-09-06 08:28:55","$1,017.00","4761049645711555811","Robert Johnson",1,135,"Jacobs, Torres and Walker",3,"bar"
3163,"2018-12-07 07:22:03","$1,894.00","4761049645711555811","Robert Johnson",1,9,"Curry, Scott and Richardson",3,"bar"
1947,"2018-11-25 01:27:57","$2.99","4761049645711555811","Robert Johnson",1,27,"Horn Ltd",2,"coffee shop"
2269,"2018-05-25 09:52:03","$3.08","4761049645711555811","Robert Johnson",1,84,"Marshall-Rojas",2,"coffee shop"
2290,"2018-02-11 22:11:53","$4.56","4761049645711555811","Robert Johnson",1,127,"Williams, Wright and Wagner",2,"coffee shop"
430,"2018-02-12 15:26:58","$7.73","4761049645711555811","Robert Johnson",1,150,"Johnson and Sons",2,"coffee shop"
1624,"2018-12-09 06:01:33","$10.09","4761049645711555811","Robert Johnson",1,43,"Wallace and Sons",2,"coffee shop"
1726,"2018-10-03 05:51:44","$10.15","3517111172421930","Robert Johnson",1,84,"Marshall-Rojas",2,"coffee shop"
1760,"2018-02-25 11:23:34","$10.49","3517111172421930","Robert Johnson",1,127,"Williams, Wright and Wagner",2,"coffee shop"
1153,"2018-03-30 17:01:55","$10.58","4761049645711555811","Robert Johnson",1,3,"Sanders, Parks and Mcfarland",2,"coffee shop"
2609,"2018-03-09 14:53:23","$16.07","3517111172421930","Robert Johnson",1,117,"Mitchell Group",2,"coffee shop"
3045,"2018-04-12 12:53:53","$17.39","3517111172421930","Robert Johnson",1,129,"Sweeney-Paul",2,"coffee shop"
3022,"2018-09-25 13:27:25","$17.59","3517111172421930","Robert Johnson",1,150,"Johnson and Sons",2,"coffee shop"
2888,"2018-12-23 05:43:37","$18.17","3517111172421930","Robert Johnson",1,14,"Osborne-Page",2,"coffee shop"
2715,"2018-12-21 06:05:54","$18.67","4761049645711555811","Robert Johnson",1,150,"Johnson and Sons",2,"coffee shop"
2485,"2018-05-18 23:47:57","$18.70","4761049645711555811","Robert Johnson",1,130,"Brown, Estrada and Powers",2,"coffee shop"
2498,"2018-10-21 18:34:43","$19.33","4761049645711555811","Robert Johnson",1,129,"Sweeney-Paul",2,"coffee shop"
2752,"2018-07-31 05:15:17","$1,302.00","4761049645711555811","Robert Johnson",1,111,"Padilla-Clements",2,"coffee shop"
2913,"2018-01-24 13:17:19","$1,691.00","4761049645711555811","Robert Johnson",1,14,"Osborne-Page",2,"coffee shop"
2497,"2018-09-04 01:35:39","$1,790.00","4761049645711555811","Robert Johnson",1,43,"Wallace and Sons",2,"coffee shop"
